# Sample	xs_pb	filter_efficiency	K_factor	xs*eff*K
GJet_Pt-40toInf_DoubleEMEnriched_MGG-80toInf		16792	0.0514		1	863.1088
GJet_Pt-20to40_DoubleEMEnriched_MGG-80toInf			137751	0.001587	1	218.610837
GJet_Pt-20toInf_DoubleEMEnriched_MGG-40to80			154500	0.02155		1	3329.475
GJets_HT-40to100		20730	1	1		20730
GJets_HT-100to200		9226	1	1		9226
GJets_HT-200to400		2300	1	1		2300
GJets_HT-400to600		277.4	1	1		277.4
GJets_HT-600toInf		93.38	1	1		93.38
WJetsToLNu				61526.7	1	1		61526.7
ZJetsToNuNu_HT-100To200	280.47	1	1.23	344.9781
ZJetsToNuNu_HT-200To400	78.36	1	1.23	96.3828
ZJetsToNuNu_HT-400To600	10.94	1	1.23	13.4562
ZJetsToNuNu_HT-600ToInf	4.2		1	1.23	5.166
GJet_Pt-15ToInf	364375	1		1	1		364375
GJet_Pt-15To6000		365896	1	1		365896
#ZNuNuGJets	0.223	1	1	0.0634881
ZNuNuGJets				0.3734	1	1		0.3734
ZLLGJets				0.041	1	1		0.041
WGJets					0.834	1	1.579	1.316886
ADD1					0.4084	1.	1.		0.4084
ADD2					0.0515	1.	1.		0.0515
ADD3					0.01089	1.	1.		0.01089
WToMuNu					174		1	1		174
WToTauNu				165		1	1		165
